id,experiment,particle_type,x,y,z
0,TS_99_9,virus-like-particle,276.63890000000004,18.5542,51.0129
1,TS_99_9,virus-like-particle,308.4893,48.7084,76.0823
2,TS_99_9,virus-like-particle,369.3973,293.29830000000004,62.0271
3,TS_99_9,virus-like-particle,301.0666,246.9137,88.4272
4,TS_99_9,virus-like-particle,55.666399999999996,316.7112,66.4183
5,TS_99_9,virus-like-particle,28.938799999999997,411.33990000000006,76.5344
6,TS_99_9,virus-like-particle,98.103,191.0541,78.0365
7,TS_99_9,virus-like-particle,156.64010000000002,471.0311,79.1778
8,TS_99_9,virus-like-particle,201.00560000000002,475.26180000000005,105.70779999999999
9,TS_99_9,virus-like-particle,224.40680000000003,431.0063,95.9548
10,TS_99_9,virus-like-particle,80.42699999999999,581.7135000000001,57.94930000000001
11,TS_99_9,virus-like-particle,419.82280000000003,553.4578,85.8169
12,TS_99_9,virus-like-particle,569.8538,333.1427,80.6002
13,TS_99_9,ribosome,331.952,547.63,101.4511
14,TS_99_9,ribosome,310.60790000000003,557.4209,118.61099999999999
15,TS_99_9,ribosome,367.6997,527.1281,89.0752
16,TS_99_9,ribosome,371.71799999999996,545.5125,110.321
17,TS_99_9,ribosome,352.5117,561.4422999999999,111.2576
18,TS_99_9,ribosome,353.53229999999996,500.8014,105.9689
19,TS_99_9,ribosome,288.3189,538.2515999999999,113.35060000000001
20,TS_99_9,ribosome,211.63359999999997,518.9631,102.7456
21,TS_99_9,ribosome,232.89090000000002,513.0186,125.34049999999999
22,TS_99_9,ribosome,194.7981,539.1709,131.3177
23,TS_99_9,ribosome,215.6805,560.9771,127.3522
24,TS_99_9,ribosome,250.92950000000002,537.0443,118.55709999999999
25,TS_99_9,ribosome,271.9011,509.674,126.3963
26,TS_99_9,ribosome,317.6477,504.9588,112.6434
27,TS_99_9,ribosome,493.49620000000004,607.1261000000001,94.7376
28,TS_99_9,ribosome,499.9826,586.6993,112.22439999999999
29,TS_99_9,ribosome,492.7254,559.5834,114.5519
30,TS_99_9,ribosome,561.595,490.9438,98.9317
31,TS_99_9,ribosome,533.6302,496.35209999999995,104.51050000000001
32,TS_99_9,ribosome,527.9465,456.4465,41.707
33,TS_99_9,ribosome,491.658,506.5955,112.0492
34,TS_99_9,ribosome,41.1526,31.5634,37.032799999999995
35,TS_99_9,ribosome,43.0518,11.0647,13.370099999999999
36,TS_99_9,ribosome,70.2557,11.546299999999999,16.5955
37,TS_99_9,ribosome,105.5336,45.784,23.7445
38,TS_99_9,ribosome,115.29169999999999,48.2744,46.8791
39,TS_99_9,ribosome,142.4626,53.798500000000004,22.771
40,TS_99_9,ribosome,85.22720000000001,67.0775,24.6253
41,TS_99_9,ribosome,113.58,120.01790000000001,27.8969
42,TS_99_9,ribosome,83.3018,121.19149999999999,29.1627
43,TS_99_9,ribosome,52.1382,99.1567,23.2765
44,TS_99_9,ribosome,72.4625,90.6686,43.6445
45,TS_99_9,ribosome,97.1899,92.4657,18.9731
46,TS_99_9,ribosome,30.980200000000004,140.9819,65.9974
47,TS_99_9,ribosome,54.492399999999996,119.75899999999999,83.18769999999999
48,TS_99_9,ribosome,53.9079,140.2459,90.6531
49,TS_99_9,ribosome,113.1172,17.1919,18.483600000000003
50,TS_99_9,ribosome,27.144,420.7943,118.1704
51,TS_99_9,ribosome,64.2942,387.9471,114.73330000000001
52,TS_99_9,ribosome,55.9039,366.3243,118.024
53,TS_99_9,ribosome,80.78490000000001,417.77700000000004,128.3998
54,TS_99_9,ribosome,28.3913,381.9565,115.6087
55,TS_99_9,ribosome,25.668599999999998,524.6703,106.6913
56,TS_99_9,ribosome,49.050599999999996,527.5121,129.1868
57,TS_99_9,ribosome,88.272,513.6225999999999,130.5376
58,TS_99_9,ribosome,200.3082,332.8973,100.108
59,TS_99_9,ribosome,187.3277,354.3216,67.80460000000001
60,TS_99_9,ribosome,111.8468,361.9591,126.7875
61,TS_99_9,ribosome,95.616,241.8385,83.37219999999999
62,TS_99_9,ribosome,84.2784,228.84789999999998,46.3814
63,TS_99_9,ribosome,100.888,272.1708,93.8224
64,TS_99_9,ribosome,153.4252,265.37469999999996,89.4814
65,TS_99_9,ribosome,176.6353,256.3641,112.8742
66,TS_99_9,ribosome,171.3554,287.0877,108.28869999999999
67,TS_99_9,ribosome,288.70709999999997,292.0025,113.8122
68,TS_99_9,ribosome,528.3408999999999,124.9497,91.7141
69,TS_99_9,ribosome,576.2274,174.90370000000001,77.28200000000001
70,TS_99_9,ribosome,590.3842,156.56300000000002,97.7371
71,TS_99_9,ribosome,548.2753,182.7704,84.8819
72,TS_99_9,ribosome,478.79409999999996,145.2551,90.4813
73,TS_99_9,ribosome,456.1989,164.132,95.4457
74,TS_99_9,ribosome,416.6224,135.60229999999999,106.22560000000001
75,TS_99_9,ribosome,430.65060000000005,204.9676,109.2797
76,TS_99_9,ribosome,25.814,541.214,127.0491
77,TS_99_9,ribosome,376.3052,519.8677,115.6437
78,TS_99_9,beta-amylase,291.377,592.1278,86.7604
79,TS_99_9,beta-amylase,280.60569999999996,577.2,113.84
80,TS_99_9,beta-amylase,167.6875,510.3125,118.0
81,TS_99_9,beta-amylase,57.96079999999999,445.70590000000004,106.56859999999999
82,TS_99_9,beta-amylase,92.0,564.5,153.0
83,TS_99_9,beta-amylase,403.34119999999996,376.9948,117.3543
84,TS_99_9,beta-amylase,277.7874,349.1181,47.815
85,TS_99_9,beta-amylase,188.5833,23.6667,18.4167
86,TS_99_9,beta-amylase,199.949,227.3469,31.066300000000002
87,TS_99_9,beta-amylase,234.573,201.764,99.6966
88,TS_99_9,beta-amylase,208.0,181.5,31.127499999999998
89,TS_99_9,beta-amylase,337.9651,162.7093,69.3682
90,TS_99_9,beta-amylase,283.2,158.0,67.0
91,TS_99_9,beta-amylase,368.07800000000003,205.3756,45.0488
92,TS_99_9,beta-amylase,199.0,281.0,73.0
93,TS_99_9,beta-amylase,361.4741,264.09479999999996,74.20259999999999
94,TS_99_9,beta-amylase,157.17739999999998,108.5222,66.16130000000001
95,TS_99_9,beta-amylase,144.0667,100.1667,79.0333
96,TS_99_9,beta-amylase,250.16230000000002,95.1948,80.6623
97,TS_99_9,beta-amylase,73.0,184.8333,92.1667
98,TS_99_9,beta-amylase,444.3627,626.2353,94.5882
99,TS_99_9,thyroglobulin,63.8516,149.9883,27.957
100,TS_99_9,thyroglobulin,203.881,21.4041,36.1807
101,TS_99_9,thyroglobulin,150.454,366.202,56.6838
102,TS_99_9,thyroglobulin,216.6658,200.01690000000002,54.704600000000006
103,TS_99_9,thyroglobulin,65.65259999999999,198.8951,59.7846
104,TS_99_9,thyroglobulin,308.2001,224.03640000000001,64.5634
105,TS_99_9,thyroglobulin,250.48420000000002,456.50100000000003,62.8011
106,TS_99_9,thyroglobulin,578.8387,297.88919999999996,69.2567
107,TS_99_9,thyroglobulin,536.0187,415.7772,72.7216
108,TS_99_9,thyroglobulin,224.5603,178.9767,78.5667
109,TS_99_9,thyroglobulin,139.8087,377.591,100.41029999999999
110,TS_99_9,thyroglobulin,381.7136,138.9497,101.7085
111,TS_99_9,thyroglobulin,122.9988,201.7224,114.34110000000001
112,TS_99_9,thyroglobulin,216.93490000000003,32.9172,114.5444
113,TS_99_9,thyroglobulin,489.0,457.0,121.0
114,TS_99_9,thyroglobulin,464.90240000000006,476.3902,62.4268
115,TS_99_9,thyroglobulin,551.322,463.5311,75.94919999999999
116,TS_99_9,thyroglobulin,434.73130000000003,414.209,108.05969999999999
117,TS_99_9,thyroglobulin,374.76570000000004,457.44350000000003,107.9079
118,TS_99_9,thyroglobulin,540.9036,561.4819,87.8072
119,TS_99_9,thyroglobulin,514.1848,256.2391,98.2609
120,TS_99_9,thyroglobulin,446.57070000000004,266.74879999999996,109.6463
121,TS_99_9,thyroglobulin,395.7731,228.4118,39.302499999999995
122,TS_99_9,thyroglobulin,338.25,280.5,105.0
123,TS_99_9,thyroglobulin,326.1336,244.2708,102.0181
124,TS_99_9,thyroglobulin,235.7384,357.27779999999996,108.5972
125,TS_99_9,thyroglobulin,164.9074,378.6667,62.407399999999996
126,TS_99_9,thyroglobulin,190.5325,372.8049,103.22760000000001
